日付,レース,判定,モード,買い目数,投資額,実際,的中,配当,頭1位,頭1位スコア,頭2位,頭2位スコア,展示バフ数,展示デバフ数,展示バフ点,展示デバフ点,1ST補正,まくり補正,買い目
20250126,10,注意,hit,16,1600,2-1-3,False,0,4,67.7,3,5.8,1,1,25,-22,-66,10,4-1-3 4-3-1 4-1-6 4-6-1 4-1-2 4-2-1 4-3-6 4-6-3 4-3-2 4-2-3 3-1-4 3-4-1 3-1-6 3-6-1 3-1-2 3-2-1
20250127,1,買い,hit,12,1200,4-1-2,True,820,4,48.2,2,18.8,0,0,0,0,-10,-10,4-2-3 4-3-2 4-2-6 4-6-2 4-2-1 4-1-2 2-4-3 2-3-4 2-4-6 2-6-4 2-4-1 2-1-4
20250127,8,買い,hit,12,1200,3-5-4,False,0,1,53.2,5,34.7,0,0,0,0,19,-35,1-5-6 1-6-5 1-5-2 1-2-5 1-5-3 1-3-5 5-1-6 5-6-1 5-1-2 5-2-1 5-1-3 5-3-1
20250127,9,注意,hit,16,1600,1-5-2,True,3560,3,59.1,1,48.5,0,0,0,0,1,-20,3-1-5 3-5-1 3-1-2 3-2-1 3-1-4 3-4-1 3-5-2 3-2-5 3-5-4 3-4-5 1-5-3 1-3-5 1-5-2 1-2-5 1-5-4 1-4-5
20250127,11,買い,hit,24,2400,3-2-5,False,0,5,49.9,3,32.5,1,1,5,-15,-21,-3,5-1-2 5-2-1 5-1-6 5-6-1 5-1-4 5-4-1 5-6-2 5-2-6 5-6-4 5-4-6 3-1-5 3-5-1 3-1-2 3-2-1 3-1-6 3-6-1 3-1-4 3-4-1 3-6-5 3-5-6 3-6-2 3-2-6 3-6-4 3-4-6
20250127,12,注意,hit,20,2000,1-4-3,False,0,5,49.9,2,39.2,0,0,0,0,-9,-2,5-2-3 5-3-2 5-2-4 5-4-2 5-2-6 5-6-2 5-2-1 5-1-2 5-1-3 5-3-1 5-1-4 5-4-1 5-1-6 5-6-1 2-1-3 2-3-1 2-1-4 2-4-1 2-1-6 2-6-1
20250128,1,買い,hit,16,1600,1-4-2,True,5000,1,69.1,3,52.5,1,1,4,-5,24,-17,1-2-3 1-3-2 1-2-4 1-4-2 1-2-5 1-5-2 3-2-1 3-1-2 3-2-4 3-4-2 3-2-5 3-5-2 3-1-4 3-4-1 3-1-5 3-5-1
20250128,2,注意,hit,16,1600,1-5-4,False,0,5,56.8,2,43.9,0,0,0,0,-24,-25,5-1-2 5-2-1 5-1-3 5-3-1 5-1-4 5-4-1 2-5-1 2-1-5 2-5-3 2-3-5 2-5-4 2-4-5 2-1-3 2-3-1 2-1-4 2-4-1
20250128,3,注意,hit,16,1600,2-1-6,False,0,1,53.9,3,44.6,1,1,4,-10,14,-20,1-6-3 1-3-6 1-6-2 1-2-6 1-6-5 1-5-6 1-3-2 1-2-3 1-3-5 1-5-3 3-6-1 3-1-6 3-6-2 3-2-6 3-6-5 3-5-6
20250128,9,注意,hit,12,1200,2-3-1,False,0,4,39.9,3,26.6,0,0,0,0,-33,-15,4-3-5 4-5-3 4-3-1 4-1-3 4-3-2 4-2-3 3-4-5 3-5-4 3-4-1 3-1-4 3-4-2 3-2-4
